id,external_id,name,nombre_oficial,parent_iso,parent_state,compound_key,poblacion_wiki_2021,area_wiki_km2,densidad_wiki,poblacion_ine_2010,poblacion_ine_2020,poblacion_ine_2026,poblacion_ine_2050,poblacion_est_2026,area_est_km2,idh_est,pib_total_est_mm_usd,pib_pc_est_usd
92452058B42535057202540,ve_nueva_esparta_peninsula_de_macanao,Península de Macanao,Municipio Península de Macanao,VE-O,Nueva Esparta,nueva esparta__peninsula de macanao,33597,331,101.5,,,,,,,,,
92452058B84020445528897,ve_yaracuy_pena,Peña,Municipio Peña,VE-U,Yaracuy,yaracuy__pena,122942,510,241.06,104229,126935,140332,178592,,,,,
92452058B76742860274923,ve_falcon_petit,Petit,Municipio Petit,VE-I,Falcón,falcon__petit,17471,1025,17.04,13659,16471,18134,22909,,,,,
92452058B28042998253075,ve_miranda_plaza,Plaza,Municipio Plaza,VE-M,Miranda,miranda__plaza,248945,180,1383.02,221308,248588,260820,277276,69785,156.15,0.744,390.52,5596
92452058B87022428114391,ve_merida_pueblo_llano,Pueblo Llano,Municipio Pueblo Llano,VE-L,Mérida,merida__pueblo llano,13185,89,148.14,11088,13103,14190,16127,11352,249.72,0.702,47.96,4225
92452058B49984819466798,ve_carabobo_puerto_cabello,Puerto Cabello,Municipio Puerto Cabello,VE-G,Carabobo,carabobo__puerto cabello,182512,434,420.53,181179,203373,213832,243195,50199,150.26,0.744,279.51,5568
92452058B62434885375481,ve_monagas_punceres,Punceres,Municipio Punceres,VE-N,Monagas,monagas__punceres,34760,754,46.1,27487,30715,32022,35154,,,,,
92452058B22086674211008,ve_trujillo_rafael_rangel,Rafael Rangel,Municipio Rafael Rangel,VE-T,Trujillo,trujillo__rafael rangel,28489,120,237.4,23423,28178,30845,37288,,,,,
92452058B16072820149055,ve_tachira_rafael_urdaneta,Rafael Urdaneta,Municipio Rafael Urdaneta,VE-S,Táchira,tachira__rafael urdaneta,7720,176,43.86,5843,6263,6493,7543,,,,,
92452058B37520710637751,ve_merida_rangel,Rangel,Municipio Rangel,VE-L,Mérida,merida__rangel,25243,517,48.82,19287,23312,25591,30698,4387,261.25,0.698,18.06,4117
92452058B20928146308063,ve_bolivar_raul_leoni,Raúl Leoni,Municipio Raúl Leoni,VE-F,Bolívar,bolivar__raul leoni,,,,,,,,,,,,
