id,external_id,name,nombre_oficial,parent_iso,parent_state,poblacion_2010,poblacion_2020,poblacion_2026,poblacion_2050,poblacion_2021,area_km2,densidad,capital,idh,pib_total_mm_usd,pib_per_capita_usd
92452058B3006076397116,ve_trujillo_bolivar,Bolívar,Municipio Bolívar,VE-T,Trujillo,16646,20067,21994,26720,19626,208,94.35,Sabana Grande,,,
92452058B16204644970009,ve_sucre_bolivar,Bolívar,Municipio Bolívar,VE-R,Sucre,22702,26517,28733,35830,27594,211,130.77,Marigüitar,,,
92452058B57727814013353,ve_falcon_bolivar,Bolívar,Municipio Bolívar,VE-I,Falcón,8595,9978,10739,12391,11345,295,38.45,San Luis,,,
92452058B41519808204677,ve_barinas_bolivar,Bolívar,Municipio Bolívar,VE-E,Barinas,51227,61648,67484,83396,64780,1047,61.87,Barinitas,,,
92452058B46129601263202,ve_yaracuy_bolivar,Bolívar,Municipio Bolívar,VE-U,Yaracuy,32403,38508,41952,50359,37664,1087,34.64,Aroa,,,
92452058B93734391596245,ve_tachira_bolivar,Bolívar,Municipio Bolívar,VE-S,Táchira,62384,66392,68533,78230,70124,204,343.74,San Antonio del Táchira,,,
92452058B49980742384962,ve_monagas_cedeno,Cedeño,Municipio Cedeño,VE-N,Monagas,34586,40035,42632,50961,42397,1977,21.44,Caicara,,,
92452058B45585815377737,ve_bolivar_cedeno,Cedeño,Municipio Cedeño,VE-F,Bolívar,92437,107772,116192,131800,82179,46020,1.78,Caicara del Orinoco,0.692,244.66,3953
92452058B88295948802008,ve_monagas_ezequiel_zamora,Ezequiel Zamora,Municipio Ezequiel Zamora,VE-N,Monagas,63325,73082,77681,92168,82480,162,509.13,Punta de Mata,,,
92452058B98091189447786,ve_barinas_ezequiel_zamora,Ezequiel Zamora,Municipio Ezequiel Zamora,VE-E,Barinas,51079,60836,66182,79776,64426,4042,15.93,Santa Bárbara,,,
92452058B50868019184012,ve_cojedes_falcon,Falcón,Municipio Falcón,VE-H,Cojedes,95053,115937,128721,185271,124919,714,174.95,Tinaquillo,,,
